Ticker,Industry,Sub-Industry,Security Type,Within Range,PE Backed,VC Backed,Sh Out,Mkt Cap,EV,3m ADV ,3m ADV $ ,6m ADV ,6m ADV $,Beta,SI,SI Days,Net Leverage,Net Leverage %,Days until Earnings, EV/Sales 2019 , EV/Sales 2020 , EV/Sales 2021 , EV/Sales 2022 ,Revenue Growth 19-20 ,Revenue Growth 20-21 ,Revenue Growth 21-22 , EV/EBITDA 2019 , EV/EBITDA 2020 , EV/EBITDA 2021 , EV/EBITDA 2022 ,EBITDA Growth 19-20 ,EBITDA Growth 20-21 ,EBITDA Growth 21-22 ,EBITDA MARGIN % 2019,EBITDA MARGIN % 2020,EBITDA MARGIN % 2021,EBITDA MARGIN % 2022, P/E 2019 , P/E 2020 , P/E 2021 , P/E 2022 ,Deal Size,Market Cap At IPO,IPO to First Open,IPO to First Day,IPO to 1st Week,IPO to 1st Month,performance
ET,Energy,Oil & Gas Storage & Transporta,Units,Higher End,Yes,No," 2,691.70 "," 19,028.01 "," 83,513.01 ", 40.86 , 288.59 ,29.65, 209.37 , 0.95 , 0.02 , 1.60 , 4.93 , 0.62 , 86.00 , 1.55 , 1.55 , 1.48 , 1.42 , 0.00 , 0.05 , 0.04 , 7.99 , 7.92 , 7.84 , 8.11 , 0.01 , 0.01 , (0.03), 0.19 , 0.20 , 0.19 , 0.18 , 5.11 , 6.48 , 5.50 , 5.59 , 507.20 ," 2,932.76 ", 0.10 , 0.08 , 0.05 , 0.05 ,-0.0287524063878668
IRWD,Health Care,Biotechnology,Class A,Below,Yes,Yes, 160.00 ," 1,730.06 "," 1,984.25 ", 2.03 , 22.01 ,1.86, 20.22 , 0.66 , 0.16 , 16.60 , 2.18 , 0.13 , 78.00 , 4.52 , 5.32 , 4.77 , 4.34 , (0.15), 0.12 , 0.10 , 16.58 , 20.02 , 16.36 , 13.38 , (0.17), 0.22 , 0.22 , 0.27 , 0.27 , 0.29 , 0.33 , 19.74 , 23.91 , 14.99 , 15.55 , 215.60 ,  -  , 0.10 , 0.04 , 0.04 , 0.18 ,-0.029586511175736407
GNRC,Industrials,Electrical Components & Equipm,Common,Below,Yes,No, 63.30 ," 6,302.00 "," 6,976.68 ", 1.06 , 106.42 ,0.83, 82.96 , 1.16 , 0.07 , 7.30 , 1.35 , 0.09 , 79.00 , 3.15 , 3.36 , 3.00 , 2.72 , (0.06), 0.12 , 0.10 , 15.30 , 17.59 , 14.32 , 13.11 , (0.13), 0.23 , 0.09 , 0.21 , 0.19 , 0.21 , 0.21 , 19.87 , 23.84 , 19.92 , 19.22 , 269.10 , 877.88 , -   , (0.01), 0.00 , 0.08 ,-0.07288154380294133
QNST,Communication Services,Interactive Media & Services,Common,Below,Yes,Yes, 53.40 , 460.30 , 397.78 , 0.55 , 4.87 ,0.51, 4.55 , 1.09 , 0.04 , 5.50 , (1.87), (0.17), 86.00 , 0.78 , 0.82 , 0.75 ,  NA  , (0.05), 0.09 , NA , 11.29 , 14.03 , 8.73 ,  NA  , (0.20), 0.61 , NA , 0.07 , 0.06 , 0.09 , NA , 19.69 , 25.61 , 18.42 ,  NA  , 150.00 , 673.69 , -   , -   , (0.03), 0.04 ,-0.18109567737070695
ANTH,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 10.30 , 0.58 , (1.29), 0.06 , -   ,0.07, -   , (0.10), 0.01 , 2.00 ,    ,, NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 46.20 , 151.11 , -   , 0.00 , 0.01 , 0.02 ,0.08211587168153534
AVEO,Health Care,Biotechnology,Common,Below,Yes,Yes, 16.10 , 132.67 , 100.69 , 0.45 , 3.75 ,0.32, 2.60 , 1.13 , 0.08 , 6.80 ,    , (0.28), 86.00 , 3.94 , 15.55 , 7.19 , 3.36 , (0.75), 1.16 , 1.14 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 13.51 , (5.17), (6.25), (17.19), 89.70 , 266.80 , (0.08), (0.00), (0.03), 0.06 ,0.06729805435363767
FIBK,Financials,Regional Banks,Class A,Mid-point,No,No, 64.90 ," 1,820.38 "," 1,541.98 ", 0.30 , 8.45 ,0.23, 6.48 , 1.02 , 0.02 , 5.10 ,    ,, 78.00 ,  NA  ,  NA  ,  NA  ,  NA  , 0.04 , (0.06), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 9.18 , 11.64 , 11.98 , 9.66 , 166.80 ,  -  , 0.10 , 0.08 , 0.12 , 0.15 ,-0.09157063890937422
MXL,Information Technology,Semiconductors,Class A,Above,Yes,Yes, 72.00 ," 1,181.95 "," 1,310.29 ", 0.62 , 10.14 ,0.51, 8.39 , 1.52 , 0.05 , 5.90 , 1.10 , 0.10 , 72.00 , 4.11 , 4.86 , 4.12 , 3.74 , (0.15), 0.18 , 0.10 , 11.21 , 15.58 , 12.68 , 11.74 , (0.28), 0.23 , 0.08 , 0.37 , 0.31 , 0.33 , 0.32 , 20.42 , 38.62 , 22.16 , 17.95 , 103.80 , 425.76 , 0.28 , 0.34 , 0.27 , 0.22 ,-0.049412340455235786
CALX,Information Technology,Communications Equipment,Common,Higher End,Yes,Yes, 56.50 , 663.07 , 663.24 , 0.49 , 5.68 ,0.36, 4.19 , 1.00 , 0.02 , 1.40 , 0.03 , -   , 71.00 , 1.56 , 1.45 , 1.35 , 1.23 , 0.08 , 0.07 , 0.10 , 130.41 ,  NA  ,  NA  ,  NA  , NA , NA , NA , 0.01 , NA , NA , NA , 195.17 , 50.91 , 22.65 , 12.07 , 94.60 , 471.87 , 0.31 , 0.16 , 0.04 , 0.07 ,-0.20588893181165105
HTHT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ADR,Higher End,Yes,Yes, 304.30 ," 9,698.86 "," 14,314.43 ", 2.44 , 79.74 ,2.07, 67.71 , 0.65 ,, 6.70 , 1.37 , 0.32 , 9.00 , 1.28 , 1.24 , 0.88 , 0.76 , 0.03 , 0.41 , 0.15 , 4.27 , 6.70 , 3.19 , 2.57 , (0.36), 1.10 , 0.24 , 0.30 , 0.19 , 0.28 , 0.30 , 6.20 , 24.53 , 4.31 , 3.26 , 126.80 , 110.25 , 0.10 , 0.14 , 0.31 , 0.35 ,0.04621898913488032
