Ticker,"IPO 
Trading 
Date",Lockup 1,Lockup 2,Lockup 3
MKD,12/30/2019,6/27/2020,,
OCFT,12/13/2019,6/10/2020,,
EH,12/12/2019,6/9/2020,,
SPT,12/13/2019,6/10/2020,,
BILL,12/12/2019,6/9/2020,,
XP,12/11/2019,6/8/2020,,
PINE,11/22/2019,5/20/2020,,
CAN,11/21/2019,5/19/2020,,
SITM,11/21/2019,5/19/2020,,
ETNB,11/11/2019,5/9/2020,,
KRKR,11/8/2019,5/6/2020,,
MOHO,11/8/2019,5/6/2020,,
CNTG,11/7/2019,5/5/2020,,
TELA,11/8/2019,5/6/2020,,
GRTX,11/7/2019,5/5/2020,,
SI,11/7/2019,5/5/2020,,
QK,11/5/2019,5/3/2020,,
DUO,11/1/2019,4/29/2020,,
RAPT,10/31/2019,4/28/2020,,
OYST,10/31/2019,4/28/2020,,
DAO,10/25/2019,4/22/2020,,
AIH,10/25/2019,4/22/2020,,
CABA,10/25/2019,4/22/2020,,
TFFP,10/25/2019,4/22/2020,,
PGNY,10/25/2019,4/22/2020,,
PHAT,10/25/2019,4/22/2020,,
BRP,10/24/2019,4/21/2020,,
BRBR,10/17/2019,4/14/2020,,
VIR,10/11/2019,4/8/2020,,
HBT,10/11/2019,4/8/2020,,
BNTX,10/10/2019,4/7/2020,,
APRE,10/3/2019,3/31/2020,,
FREQ,10/3/2019,3/31/2020,,
VIE,10/3/2019,3/31/2020,,
OPRT,9/26/2019,3/24/2020,,
PTON,9/26/2019,2/24/2020,,
DDOG,9/19/2019,3/9/2020,,
PING,9/19/2019,3/17/2020,,
XGN,,1/1/2001,,
IGMS,9/18/2019,3/16/2020,,
NVST,9/18/2019,3/16/2020, 11/15/2019,
NET,9/13/2019,3/11/2020,,
SWTX,9/13/2019,3/11/2020,,
STSA,9/13/2019,3/11/2020,,
SDC,9/12/2019,3/10/2020,,
TXG,9/12/2019,3/6/2020,,
JFU,8/15/2019,2/11/2020,,
CFB,8/15/2019,2/11/2020,,
INMD,8/8/2019,2/4/2020,,
HKIB,8/5/2019,2/1/2020,,
SNDL,8/1/2019,1/28/2020,,
KRUS,8/1/2019,1/28/2020,,
DT,8/1/2019,1/28/2020,,
WSG,7/26/2019,1/22/2020,,
HCAT,7/25/2019,1/21/2020,,
NOVA,7/25/2019,1/21/2020,,
CSTL,7/25/2019,1/21/2020,,
PROS,7/25/2019,1/21/2020,,
LVGO,7/25/2019,1/21/2020,,
AFYA,7/19/2019,1/15/2020,,
MDLA,7/19/2019,1/15/2020,,
MIRM,7/18/2019,1/14/2020,,
PHR,7/18/2019,1/14/2020,,
FULC,7/18/2019,1/14/2020,,
AMK,7/18/2019,1/14/2020,,
ORCC,7/18/2019,7/17/2020,  4/13/2020,  1/14/2020
DOYU,7/17/2019,1/13/2020,,
KRTX,6/28/2019,12/25/2019,,
REAL,6/28/2019,12/25/2019,,
ADPT,6/27/2019,12/24/2019,,
BBIO,6/27/2019,12/24/2019,,
MORF,6/27/2019,12/24/2019,,
CHNG,6/27/2019,12/24/2019,,
CMBM,6/26/2019,12/23/2019,,
PRVL,6/20/2019,12/17/2019,,
AKRO,6/20/2019,12/17/2019,,
PSNL,6/20/2019,12/17/2019,,
GO,6/20/2019,12/17/2019,,
BCEL,6/20/2019,12/17/2019,,
STOK,6/19/2019,12/16/2019,,
CHWY,6/14/2019,12/11/2019,,
MWK,6/12/2019,12/9/2019,,
FVRR,6/13/2019,12/10/2019,,
CRWD,6/12/2019,12/9/2019,,
GSX,6/6/2019,12/3/2019,,
RVLV,6/7/2019,12/4/2019,,
IDYA,5/23/2019,11/19/2019,,
BCYC,5/23/2019,11/19/2019,,
RTLR,5/23/2019,11/19/2019,,
LK,5/17/2019,11/13/2019,,
AVTR,5/17/2019,11/13/2019,,
FSLY,5/17/2019,11/13/2019,,
PSTL,5/15/2019,11/11/2019,,
APLT,5/14/2019,11/10/2019,,
JFIN,5/10/2019,11/6/2019,,
UBER,5/10/2019,11/6/2019,,
SONM,5/10/2019,11/6/2019,,
CRTX,5/9/2019,11/5/2019,,
SPFI,5/9/2019,11/5/2019,,
HHR,5/9/2019,11/5/2019,,
AXLA,5/9/2019,11/5/2019,,
NXTC,5/9/2019,11/5/2019,,
MEC,5/9/2019,11/5/2019,,
MIST,5/9/2019,11/5/2019,,
TRVI,5/7/2019,11/3/2019,,
PSN,5/8/2019,11/4/2019,,
YJ,5/3/2019,10/30/2019,,
SCPL,5/3/2019,10/30/2019,,
SY,5/2/2019,10/29/2019,,
RRBI,5/3/2019,10/30/2019,,
TMDX,5/2/2019,10/29/2019,,
BYND,5/2/2019,10/29/2019,,
MNRL,4/18/2019,10/15/2019,,
GNLN,4/18/2019,10/15/2019,,
ZM,4/18/2019,10/15/2019,,
HOOK,4/18/2019,10/15/2019,,
PINS,4/18/2019,10/15/2019,,
TPTX,4/17/2019,10/14/2019,,
PLMR,4/17/2019,10/14/2019,,
JMIA,4/12/2019,10/9/2019,,
PD,4/11/2019,10/8/2019,,
TUFN,4/11/2019,10/8/2019,,
SILK,4/4/2019,10/1/2019,,
RUHN,4/3/2019,9/30/2019,,
TW,4/4/2019,10/1/2019,,
NGM,4/4/2019,10/1/2019,,
LYFT,3/29/2019,8/19/2019,,
PUYI,3/28/2019,9/24/2019,,
DTIL,3/28/2019,9/24/2019,,
LEVI,3/21/2019,9/17/2019,,
TIGR,3/20/2019,9/16/2019,,
FUTU,3/8/2019,9/4/2019,,
SWAV,3/7/2019,9/3/2019,,
KLDO,2/28/2019,8/27/2019,,
SLGG,2/26/2019,8/25/2019,,
MITO,2/15/2019,8/14/2019,,
AVDR,2/14/2019,8/13/2019,,
TCRR,2/14/2019,8/13/2019,,
GOSS,2/8/2019,8/7/2019,,
HARP,2/8/2019,8/7/2019,,
ALEC,2/7/2019,8/6/2019,,
NFE,1/31/2019,7/30/2019,,
LEGH,12/14/2018,6/12/2019,,
QFIN,12/14/2018,6/12/2019,,
TME,12/12/2018,6/10/2019,,
THOR,12/7/2018,6/5/2019,,
MRNA,12/7/2018,6/5/2019,,
MOGU,12/6/2018,6/4/2019,,
TC,11/20/2018,5/19/2019,,
WEI,11/15/2018,5/14/2019,,
VAPO,11/14/2018,5/13/2019,,
ETON,11/13/2018,5/12/2019,,
CNF,11/7/2018,5/6/2019,,
TWST,10/31/2018,4/29/2019,,
AXNX,10/31/2018,4/29/2019,,
ORTX,10/31/2018,4/29/2019,,
GMDA,10/26/2018,4/24/2019,,
PT,10/25/2018,4/23/2019,,
YETI,,1/1/2001,,
STNE,10/25/2018,4/23/2019,,
NIU,10/19/2018,4/17/2019,,
LOGC,10/19/2018,4/17/2019,,
SWI,10/19/2018,4/17/2019,,
MSC,10/18/2018,4/16/2019,,
PHAS,10/18/2018,4/16/2019,,
OSMT,10/18/2018,4/16/2019,,
SIBN,10/17/2018,4/15/2019,,
EQ,10/12/2018,4/10/2019,,
PLAN,10/12/2018,4/10/2019,,
LTHM,10/11/2018,4/9/2019,  2/08/2019,
